8126,6453,0.1568291
8126,2216,0.157811
8126,5478,0.9153906
8126,4519,1.046554
8126,5591,0.9520576
8126,5815,0.7069693
8126,1831,0.1308534
6453,2216,1.085519
6453,5478,1.429852
6453,4519,0.7814139
6453,5591,1.047592
6453,5815,0.3500406
6453,1831,1.309837
5478,2216,0.7138326
4519,2216,0.5921253
5591,2216,0.746115
5815,2216,0.7460463
2216,1831,1.311729
5478,4519,1.317574
5591,5478,1.093832
5815,5478,1.3014
5478,1831,0.3892224
5591,4519,0.7089169
5815,4519,1.482635
4519,1831,0.4336441
5815,5591,0.4216417
5591,1831,0.4652988
5815,1831,0.07124501
9265,6453,0.06504571
9265,5478,0.6383127
9265,5591,0.3087401
9265,5815,1.392401
6453,2759,0.0741908
5478,2759,1.072072
5591,2759,1.399523
5815,2759,0.6915184
9265,2759,0.2599708
6453,1296,0.6968092
5478,1296,0.6624067
5591,1296,1.279207
5815,1296,0.9445592
9265,1296,0.7770684
2759,1296,0.4175389
6453,1588,1.271766
5478,1588,0.3623264
5591,1588,0.2845557
5815,1588,0.2908561
9265,1588,1.380524
2759,1588,1.069371
1588,1296,1.335485
